question,reference_chunk_id,intent
How do I contact Amazon Customer Service for help?,support_options_and_customer_service_001,customer_support_contact
How do I submit Power of Attorney documents to manage someone else's account?,power_of_attorneypoa_support_001,customer_support_legal
How do I close the Amazon account of a deceased family member?,bereavement_support_001,customer_support_bereavement
Where do I find the phone number or chat link for support?,support_options_and_customer_service_001,customer_support_contact
What documents do I need to provide for bereavement account requests?,bereavement_support_003,customer_support_bereavement
How do I submit legal POA docs to support?,power_of_attorneypoa_support_001,customer_support_legal
How do I contact Amazon support for estate issues?,bereavement_support_001,customer_support_bereavement
What is the bereavement support email or page?,bereavement_support_001,customer_support_bereavement
How do I open a customer support ticket?,support_options_and_customer_service_001,customer_support_contact
How to reach a live support agent on Amazon?,support_options_and_customer_service_001,customer_support_contact
How do I download or print an invoice for an order?,print_an_invoice_001,billing
Where can I find the official billing receipt for tax purposes?,print_an_invoice_001,billing
How to get a printable PDF invoice of my purchases?,print_an_invoice_001,billing
Where is the print invoice button in my orders?,print_an_invoice_001,billing
How do I get an invoice for my business order?,print_an_invoice_001,billing
Can I get a tax invoice for my recent purchase?,print_an_invoice_001,billing
Where can I see my order receipts?,print_an_invoice_001,billing
How to get printable receipts on Amazon desktop?,print_an_invoice_001,billing
How do I save an invoice PDF to my computer?,print_an_invoice_001,billing
How to request an invoice copy from Amazon?,print_an_invoice_001,billing
Does Amazon send customer satisfaction surveys?,amazon_consumer_surveys_001,customer_feedback
How do I know if an Amazon survey request is real or fake?,amazon_consumer_surveys_001,customer_feedback
Are there rewards for participating in Amazon surveys?,amazon_consumer_surveys_001,customer_feedback
How does chat machine translation work for support?,machine_translation_001,customer_feedback
Can I converse with customer support in my own language?,machine_translation_001,customer_feedback
Why does the agent answer me in translated text?,machine_translation_001,customer_feedback
Are customer satisfaction surveys safe to fill out?,amazon_consumer_surveys_001,customer_feedback
Will support surveys ask for personal billing details?,amazon_consumer_surveys_001,customer_feedback
Where do I report a suspicious survey email?,amazon_consumer_surveys_001,customer_feedback
Are chat agent answers translated automatically?,machine_translation_001,customer_feedback
How do I change my subscription email preferences?,change_your_subscription_email_preferences_001,other_query
How do I opt out of receiving deals by email?,change_your_subscription_email_preferences_001,other_query
Where is the communication preference center for newsletter emails?,change_your_subscription_email_preferences_001,other_query
How do I manage Subscribe & Save email notifications?,change_your_subscription_email_preferences_001,other_query
How do I unsubscribe from the Amazon Delivers email subscription?,change_your_subscription_email_preferences_001,other_query
How do I change my Prime membership email preferences?,change_your_subscription_email_preferences_001,other_query
How long does it take for changes to email subscriptions to take effect?,change_your_subscription_email_preferences_001,other_query
Where do I change my newsletter settings?,change_your_subscription_email_preferences_001,other_query
Can I unsubscribe from newsletter emails online?,change_your_subscription_email_preferences_001,other_query
How do I manage my Subscribe & Save items?,change_your_subscription_email_preferences_001,other_query
