chunk_id,chunk_title,source_file,chunk,intent_label
hotel_delivery_002,Before placing your order,About Hotel Deliveries(2).md,"* Contact the hotel. Ask them about their policies for accepting packages. Confirm whether they need any specific information to ensure that you successfully get your item. Ask about any related fees and how early you can send the item.
* Add details to your address. You can add a new address to your Address Book. You can also add or modify instructions to existing addresses by selecting Add Delivery Instructions or Edit on the desired address. Include the following details:
  * Recipient’s full name (name on the reservation)
  * Name of the hotel
* Check your delivery times. Make sure that your delivery date during checkout matches when you are at the location.",missing_item_from_order
push_notifications_tracking_003,Check Your Push Notifications in the Amazon App,Push Notifications for Shipment Tra(2).md,Go to the Amazon app > Your Account (Person icon in the bottom left corner of the app) > Settings (cog icon in the upper right hand corner of the app) > Notifications > Account and shipping. Turn on all for Push notifications.,missing_item_from_order
push_notifications_tracking_002,Enable Push Notifications on Your Device,Push Notifications for Shipment Tra(2).md,"For iOS:
* Ensure you have the Amazon app (Go to the App Store and search Amazon)
* Go to Settings > Notifications > Amazon > Allow Notifications
* Turn on “Time Sensitive Notifications” and select all alert options for best notification of delivery
For Android:
* Ensure you have the Amazon app (Go to the App Store and search Amazon)
* Go to Settings > Notifications > App Notifications > Amazon > Turn on
* Turn on “Time Sensitive Notifications” and select all alert options for best notification of delivery",missing_package_delivered
missing_item_from_order_005,Entire shipping package is missing,Find a Missing Item from Your Order(2).md,"1. If the tracking info shows as delivered but you can't find the package, go to Find a Missing Package That Shows as Delivered for more information.
2. If the tracking info shows as undelivered, go to Undeliverable Packages.",missing_package_delivered
missing_item_from_order_001,Find a Missing Item from Your Order,Find a Missing Item from Your Order(2).md,"If an item is missing from your package, it may have shipped separately. Check Your Orders.",missing_package_delivered
missing_item_from_order_003,Find a missing item shipped and sold by a third-party seller,Find a Missing Item from Your Order(2).md,"If the item missing from your package is shipped and sold by a third-party seller, contact the seller for assistance. Go to Contact a Third-Party Seller.
Learn how to identify orders shipped and sold by a seller by visiting Ordering from a third-party seller.",missing_package_delivered
missing_item_from_order_002,Find a missing item shipped by Amazon,Find a Missing Item from Your Order(2).md,"If you received your shipping package and an entire item shipped by Amazon is missing, do the following:
1. Go to Your Orders and check if the missing item is in another shipment.
2. Select Track Package to find the delivery date for the shipment.
3. If there is no tracking information for the missing item, Customer Service will assist you. Otherwise, you can follow the recommendations in this page.",missing_package_delivered
hotel_delivery_004,Find a Missing Package that Shows as Delivered,About Hotel Deliveries(2).md,"Follow the institution’s instructions for collecting packages in a timely manner. Look for any notifications sent to your phone or email.
If your package was scanned as Delivered but you didn’t receive a notification from your institution, check with the receiving department or receptionist. Have your name and tracking number ready before you speak with them.
Follow the steps in Find a Missing Package that Shows as Delivered.",missing_package_delivered
missing_package_delivered_001,Find a Missing Package that Shows as Delivered,Find a Missing Package that Shows a(2).md,Follow these steps if tracking shows a package as delivered in Your Orders but you can't find it.,missing_package_delivered
track_package_004,Fix a delivery issue,Tracking your package(2).md,"Most issues can be fixed quickly. You can check what to do when:
* Order hasn't shipped yet: if you're expecting the package today and there isn't a status update, that's normal. Depending on the carrier, items may ship the same day they're delivered.
* Order is delayed: things like weather and traffic can cause delivery delays. Most late parcels arrive within 48 hours of the estimated delivery date. If the order has already been shipped, you can't cancel it.
* Missing package: if your package shows as delivered but you haven't received it, check the Find a missing package that shows as delivered page.
* Missing items: if you received a package that's missing an item, it may have been shipped separately. Check your orders, then refer to Find a missing item.
* To contact the company that's delivering your package, refer to Contact a carrier.",missing_package_delivered
late_delivery_007,Guaranteed deliveries,Late Deliveries(2).md,"For late guaranteed deliveries, you're eligible to receive a delivery fee refund:
* Go to Your Orders and select your late order.
* Choose Problem with an order, then Shipping or delivery issues, and finally Shipment is late.
* If you have an item with a guaranteed delivery date that wasn't met, we'll provide a refund of the shipping fees.",late_delivery
late_delivery_004,How we’ll contact you if a delivery is late,Late Deliveries(2).md,"If Amazon delivers the order, we’ll update your tracking with real-time information about where your package is. We’ll email you when we know there’s a delay. You’ll also find all correspondence in the Message Center.
For orders delivered by a delivery carrier, we’ll still update your Amazon order tracker. Your carrier will have the latest information. Contact your carrier directly for shipping updates. You can also check their website, emails, or mobile app for tracking information.",late_delivery
late_delivery_006,If 48 hours have passed since your estimated delivery date,Late Deliveries(2).md,"If there's still been no news after 48 hours:
* For orders shipped by Amazon, contact Customer Service within 30 days of the estimated delivery date.
* Contact the seller if a third-party seller shipped and sold your order.",late_delivery
late_delivery_001,Late Deliveries,Late Deliveries(2).md,"What to do if your order didn't arrive on the estimated delivery date.
On this page:
* What to do if your delivery is late
* Why some deliveries are delayed
* How we’ll contact you if a delivery is late
* Why wait for 48 hours
* If 48 hours have passed since your estimated delivery date
* Guaranteed deliveries",late_delivery
missing_tracking_information_001,Missing Tracking Information,Missing Tracking Information(2).md,A useable tracking number may not be available on your order or return.,late_delivery
undeliverable_package_005,Not what you’re looking for? Try these pages,Undeliverable Packages(2).md,"* Find a Missing Package That Shows as Delivered
* Late Deliveries
* Replace a Damaged, Defective, or Broken Item
* Find a Missing Item from Your Package",late_delivery
missing_tracking_information_002,Orders Sold and Fulfilled by Amazon,Missing Tracking Information(2).md,"A tracking number may not be on your order yet because it could still be on the way to the carrier. When the carrier scans your order the first time, you will have tracking details in Your Orders.
If no tracking is available and you need to return or exchange your order, wait for the estimated delivery date to pass. You'll be able to return or replace your order by visiting the Online Returns Center.",late_delivery
missing_tracking_information_003,Orders Sold and Fulfilled by Third-Party Sellers,Missing Tracking Information(2).md,"Seller orders can also be tracked, but only if the seller has shared this information with Amazon and you've chosen a traceable shipping method.
If a Track package option is not available, contact the seller as follows:
1. Go to Your Orders.
2. Find your order in the list.
3. Select Problem with Order.
4. Choose your topic from list displayed.
5. Select Contact Seller.
Allow two days for the seller to respond. In most cases you'll receive a reply sooner.",late_delivery
missing_item_from_order_004,Part of an item is missing,Find a Missing Item from Your Order(2).md,"Double check to confirm that the part is missing from the product packaging. If you can’t find it, contact the product's manufacturer for assistance.
Manufacturer contact information can be found on the product packaging, in the paperwork included with the product, or by searching the Internet.
If you can't find contact information, or if they can't help, you can return the item. Go to Your Orders and select Return or Replace Items.",missing_tracking_information
push_notifications_tracking_001,Push Notifications for Shipment Tracking,Push Notifications for Shipment Tra(2).md,"You can set up or edit push notifications to track your orders.
To receive push notifications for shipment tracking, ensure your phone settings allow app notifications and then turn on push notifications in the Amazon app.",missing_tracking_information
undeliverable_package_004,Reasons for Undeliverable Packages,Undeliverable Packages(2).md,"An undeliverable status occurs for various reasons including, but not limited:
* The shipment sustains damage before or during transit.
* The shipment is detected to contain products with quality issues.
* The shipping address can’t be accessed due to wrong address, missing information, or delivery restrictions (ex: correctional facility) or driver safety concerns due to presence of a dog. Visit Your Addresses to update your shipping addresses and add any delivery preferences. Customize instructions to include access codes, presence of dog, and preferred days of delivery for future orders.
* The shipping label becomes unreadable during transit.
* The carrier makes three unsuccessful attempts to access your delivery address.
* Customer/recipient refuses to accept package from carrier.",missing_tracking_information
missing_tracking_information_005,Reasons Why Your Tracking Information Is Not Available,Missing Tracking Information(2).md,"* Your package has not been scanned by the carrier. Issues like this can happen when shipping volume is high and packages are processed in bulk. Until this first scan, the carrier may not acknowledge receipt of the package.
* There may be a delay in updates to the tracking database.
* Some shipments, such as Standard International shipments, aren't trackable.
* Marketplace sellers don't always provide us with tracking information for their orders.
* The order is a gift. You will receive a gift receipt once the order is delivered. Until that time, the gift purchaser will receive the tracking updates.",missing_tracking_information
undeliverable_package_003,Refund Times for Undeliverable Packages,Undeliverable Packages(2).md,"You can expect a refund within 7 business days after the return is received. Some issuing banks may require an additional 3-5 business days to process a refund.
Visit the Refunds Help page for more information about refunds processing times.
Undeliverable Orders Shipped and Sold by Sellers
If your order is shipped and sold by a third-party seller, contact the seller directly for assistance.
If you’re not satisfied with the seller solution or you don’t hear back from them within two business days, you may be eligible for a refund through Amazon's A-to-z Guarantee.
For more information about third-party sellers, visit Ordering from a Third-Party Seller.",missing_tracking_information
late_delivery_008,Related Pages,Late Deliveries(2).md,"* Track Your Package
* Undeliverable Packages
* Find a Missing Package That Shows As Delivered
* Carrier Contact Information
* Delivery Guarantees",push_notifications_tracking
manage_shipment_text_updates_001,Sign Up for and Manage Shipment Updates via Text for All Orders,Sign Up for and Manage Shipment Upd(2).md,"You can sign up to receive tracking information for your orders via text message when there are exceptions or delays
To sign up for or cancel shipment updates via text, or change your phone number:
1. Go to Your Account.
2. Select Shipment updates via text under the Communication and content section.
Note: Shipment updates via text are only available for packages shipped by Amazon.com sellers.",push_notifications_tracking
track_package_001,Track package in Your Orders,Tracking your package(2).md,"You can find tracking numbers and delivery updates in Your Orders.
To get tracking numbers and delivery updates:
* Check Your Orders
* Find the order that you want to track
* Select Track package next to your order
* Select All updates to get:
  * delivery updates
  * tracking numbers
  * 
If you ordered more than one thing, they may have separate delivery dates and tracking info. Some packages, like standard international deliveries, might not be trackable.",push_notifications_tracking
track_package_002,Track packages from third-party sellers,Tracking your package(2).md,"Third-party sellers at Amazon are independent businesses or individuals that sell their products on Amazon Marketplace. To check if you ordered from a third-party seller, refer to Your Orders and review the seller name.
You can only access tracking information if:
* the third-party seller shares this info with us
* you chose a trackable shipping option
To get help, refer to Contacting a third-party seller.",manage_shipment_text_updates
missing_tracking_information_004,Tracking Your Return Order,Missing Tracking Information(2).md,Your return order status can be tracked by selecting View Return/Refund Status next to the relevant order. Go to Return Items You Ordered for more information.,track_package
turn_off_text_updates_001,Turn Off Shipment Updates via Text for a Specific Package,Turn Off Shipment Updates via Text(2).md,"You can turn off Shipment Updates via Text for a specific package at any time.
To turn off Shipment Updates via Text for a specific package:
1. Go to Your Orders.
2. Select Track your package for the package for which you want to turn off shipment updates via text. You'll see the option to turn off Shipment Updates via Text for that package.
Note: You may still receive a text message after you unsubscribe, if we sent text messages that haven't reached you.",track_package
undeliverable_package_001,Undeliverable Packages,Undeliverable Packages(2).md,This happens when an unplanned service disruption prevents us from delivering your package. We’ll notify you and refund you for the items you didn’t receive.,track_package
track_package_003,Understanding delivery statuses,Tracking your package(2).md,"Your delivery status is in Your Orders:
* Arriving: usually followed by a date. Your package is on its way to you
* Out for delivery: your package will be delivered today
* Delivered: your package has been delivered, and might be in your safe space
* Undeliverable: your package couldn't be delivered, and will be returned to Amazon. When we receive it, we'll automatically issue you a refund. Visit the Undeliverable packages help page.",track_package
undeliverable_package_002,What Happens with Undelivered Packages,Undeliverable Packages(2).md,"We automatically notify you. The undeliverable package is returned to Amazon, and we’ll process your refund.
When a package is returned as undeliverable, we can't reship it. You can place a new order for the item(s).
To stay on top of delivery changes, consider signing up to receive shipment updates via text message.",turn_off_text_updates
late_delivery_002,What to do if your delivery is late,Late Deliveries(2).md,"If your Amazon delivery is late:
* Track the package for status updates.
* Check your email for carrier notifications.
* Allow 48 hours past the estimated delivery date for unexpected delays.",undeliverable_package
missing_package_delivered_008,What to do next?,Find a Missing Package that Shows a(2).md,"If you have not located the package after following the steps above, you can:
If your order is shipped and sold by a third-party seller, contact the seller directly for assistance. Go to Contact a Third-Party Seller.
If your order was shipped by Amazon, contact Customer Service within 30 days of expected delivery. We'll do everything we can to help.",undeliverable_package
late_delivery_003,Why some deliveries are delayed,Late Deliveries(2).md,"Common reasons for late deliveries include:
* Bad weather
* Heavy traffic
* High delivery demand during holidays
* Custom delays for international packages
* Operational problems like a vehicle breaking down",undeliverable_package
late_delivery_005,Why wait for 48 hours,Late Deliveries(2).md,"Most deliveries arrive within 48 hours. If you haven’t received an email or notification about the delay, wait 48 hours as it may nearly be delivered.
After 48 hours have passed, Customer Services will be able to help you.",undeliverable_package
missing_item_from_order_006,You received an empty package,Find a Missing Item from Your Order(2).md,"* If your order is shipped and sold by a third-party seller and you receive an empty shipping package, contact the seller directly for assistance. Visit Contact a Third-Party Seller.
* If your order was shipped by Amazon and you receive an empty shipping package, contact our Customer Service within 30 days of expected delivery. We'll do everything we can to help.",undeliverable_package
amz_ret_001,General Return Eligibility,01_amazon_returns_policy_overview.md,Amazon is committed to making shopping seamless and worry-free. Customers may return eligible items when purchases do not meet expectations or needs change. Most items sold on Amazon.com can be returned within 30 days of delivery for: - Refund - Replacement - Exchange Items must generally be: - In original condition - Unused - Returned with original packaging and accessories Customers should review return eligibility: - On the product detail page before purchase - In Order History after placing an order Eligible items may qualify for: - Free returns - Nearby drop-off locations - Box-free returns - Label-free returns,general_return_policy
amz_ret_002,Refund Processing Overview,01_amazon_returns_policy_overview.md,"A refund is issued after: 1. Amazon or the third-party seller receives the returned item 2. The item is inspected 3. The return is approved Return processing may take: - Up to 30 days under normal conditions - Longer in exceptional situations If additional information is required, Amazon contacts the customer with further instructions. Customers may also use Amazon support resources for: - Missing packages - Refund assistance - Product support - A-to-z Guarantee claims involving third-party sellers",refund_processing
amz_ret_003,Standard 30-Day Return Window,02_return_windows_and_eligibility_exceptions.md,Most items sold on Amazon.com can be returned within 30 days of delivery.,standard_return_window
amz_ret_004,7-Day Digital Purchase Returns,02_return_windows_and_eligibility_exceptions.md,"Applicable to: - Kindle books accidentally purchased from the Kindle Store that have not been read - Digital textbooks, workbooks, and educational content that have not been downloaded - Songs or albums accidentally purchased using Alexa from the Digital Music Store",digital_purchase_returns
amz_ret_005,15-Day Apple Product Returns,02_return_windows_and_eligibility_exceptions.md,Applicable to: - Apple brand products sold in new condition - Boost Infinite brand products sold in new condition - Amazon Haul items priced above $3 Notes: - AppleCare+ cancellations follow plan terms - Amazon Haul items priced at $3 or less are non-returnable and non-refundable,short_window_special_returns
amz_ret_006,90-Day Return Window,02_return_windows_and_eligibility_exceptions.md,"Applicable to: - Select Amazon Renewed items in Acceptable, Good, or Excellent condition - Most nonperishable baby products - Amazon Birthday Registry purchases made by someone other than the registry owner - Custom Gift List purchases - Mattresses excluding crib mattresses",extended_return_eligibility
amz_ret_007,365-Day Renewed Premium Returns,02_return_windows_and_eligibility_exceptions.md,A 180-day return window applies to: - Amazon Wedding Registry purchases made by someone other than the registry owner A 365-day return window applies to: - Amazon Renewed Premium products - Amazon Baby Registry purchases made by someone other than the registry owner,registry_and_renewed_returns
amz_ret_008,Customized and Final Sale Items,03_non_returnable_and_final_sale_items.md,Some items cannot be returned or refunded. These include: - Perishable products - Products posing health or safety risks - Products with shipping restrictions - Customized or personalized products - Redeemable products - Amazon Pharmacy products - Pet medication products - Certain digital products - Automobiles,non_returnable_items
amz_ret_009,Damaged Final Sale Items,03_non_returnable_and_final_sale_items.md,Products labeled as “Final Sale” are: - Non-returnable - Non-refundable Examples include: - Trading card games - Certain discounted items - Amazon Haul items priced at $3 or less If a non-returnable or Final Sale item arrives: - Damaged - Defective - Materially different from the order Customers should contact Customer Service for assistance.,final_sale_policy
amz_ret_010,Starting a Return Request,04_initiating_packaging_and_sending_returns.md,"To initiate a return: 1. Go to Your Orders 2. Select “Return Items” beside the eligible item Amazon supports: - Over 8,000 return locations - Free returns for eligible items - Box-free returns - Label-free returns Most return locations are within a 5-mile radius of customer addresses.",return_initiation
amz_ret_011,Packaging and Condition Requirements,04_initiating_packaging_and_sending_returns.md,Returned items should include: - Original manufacturer packaging - Tags - Accessories - Components - Manuals - Certificates of authenticity - Inserts Additionally: - Hygiene seals and liners must remain intact - Items should be unused or in original condition Items must be returned before the “return by date” shown in: - Return confirmation emails - Return Request section in Order History,return_packaging_requirements
amz_ret_012,Separate Return Shipment Rules,04_initiating_packaging_and_sending_returns.md,Customers should: - Follow return instructions for each item - Avoid combining items from separate orders in the same package Before returning electronics or devices containing personal information: - Completely erase stored data - Follow manufacturer instructions Examples include: - Computers - Phones - Electronics If a refund is issued before the item is returned: - Customers may be charged if the item is not sent back Charges are reversed once Amazon processes the returned item. Defective hazardous items must be returned through instructions provided in the Online Returns Center.,return_conditions_and_rules
amz_fee_001,Return Shipping Fees,05_return_fees_damage_fees_and_partial_refunds.md,Most items include at least one free return shipping option. Fees may apply when: - Selecting a paid shipping or drop-off option - Returning heavy or bulky items - Having an unusually high return rate The fee amount varies depending on: - Item type - Shipping method - Size and handling requirements,return_shipping_fees
amz_fee_002,Late Return Fees,05_return_fees_damage_fees_and_partial_refunds.md,Customers may incur fees if they do not complete the return before the return-by date. Fee structure: - 20% of the item price during the first 30 days after the return-by date - 100% of the item price after that period,late_return_penalties
amz_fee_003,Damage Fees,05_return_fees_damage_fees_and_partial_refunds.md,Damage fees may apply if returned items: - Are damaged - Are missing parts - Are not in original condition - Have removed tags - Show obvious signs of use Fees can be: - Up to 50% of the item price - 100% of the item price for Amazon Luxury items,damaged_return_penalties
amz_fee_004,Restocking Fees,05_return_fees_damage_fees_and_partial_refunds.md,A 100% restocking fee may apply for: - Opened software - Activated video games - Used games missing parts - Opened collectible cards - Board games - Collectible figurines with missing parts or packaging,restocking_fee_policy
amz_fee_005,Partial Refund Policies,05_return_fees_damage_fees_and_partial_refunds.md,All returned items are inspected before refunds are issued. Refunds may be reduced because of: - Customer use - Damage - Missing accessories - Missing manuals - Missing parts For currency-converted orders: - Refunds are issued in local currency - Original exchange rates are used,partial_refund_conditions
amz_ref_001,Refund Processing Overview,06_refund_processing_timelines_and_refund_types.md,Refunds are processed after: 1. Amazon receives the returned item 2. The item is inspected 3. The refund is approved Customers receive email notifications with detailed refund summaries after refunds are issued.,refund_processing
amz_ref_002,Refund Timelines by Payment Method,06_refund_processing_timelines_and_refund_types.md,Estimated refund timelines vary by payment method: - Amazon Gift Card: 2–3 hours - Credit Card: 3–5 business days - Shop with Reward Points: up to 5 business days - Debit Card: up to 10 business days - Checking Account: up to 10 business days - EBT Card: up to 10 business days - Cash at Participating Locations: up to 10 business days - Prepaid Credit Card: up to 30 days depending on issuer - Promotional Certificate: no refund issued,refund_timelines
amz_ref_003,Advanced Refunds,06_refund_processing_timelines_and_refund_types.md,Advanced refunds are issued when the carrier first scans the return instead of waiting for Amazon to receive and process the returned item.,advanced_refunds
amz_ref_004,Declined Refunds,06_refund_processing_timelines_and_refund_types.md,"If the original payment method cannot receive the refund, such as an expired card, Amazon issues the refund to the customer’s Amazon account balance.",refund_fallback_methods
amz_ref_005,Partial and Gift Refunds,06_refund_processing_timelines_and_refund_types.md,Partial refunds may apply when returned items are: - Used - Damaged - Missing parts Gift return refunds are issued to the person who initiated the return request.,gift_and_partial_refunds
amz_track_001,Tracking a Return,07_tracking_returns_and_refund_status.md,Customers can track returns using: - Return confirmation emails - Carrier tracking numbers - Your Returns section in their Amazon account,return_tracking
amz_track_002,Tracking Through Your Returns,07_tracking_returns_and_refund_status.md,To track a return: 1. Go to Your Returns 2. Locate the item under Last 3 Months 3. Review return and refund details,return_status_navigation
amz_track_003,Return Status Types,07_tracking_returns_and_refund_status.md,Return statuses include: - Return Requested on [DATE]: Amazon accepted the return request and is waiting to receive the item. - Refund Issued: Amazon processed the return and issued a refund. - Item No Longer Eligible for Return: The item exceeded the return eligibility window.,return_status_meanings
amz_track_004,Your Returns Navigation,07_tracking_returns_and_refund_status.md,Customers can check refund status using: - Return/Refund Status links in confirmation emails - Your Returns section After refunds are issued: - Refund details become visible - Customers receive refund summary emails - Refund transactions appear in Your Transactions,refund_tracking
amz_track_005,Gift Return Refund Distribution,07_tracking_returns_and_refund_status.md,Gift Recipient Returns: Refunds are issued to the Amazon gift card balance of the account used to create the return request. Gift Purchaser Returns: Refunds are issued to the refund method selected in the Online Returns Center.,gift_refund_distribution
amz_seg_001,Amazon Pharmacy Policy,08_segment_specific_and_third_party_seller_policies.md,Amazon Pharmacy purchases are: - Non-returnable - Non-refundable Customers should consult Amazon Pharmacy Help for additional assistance.,amazon_pharmacy_policy
amz_seg_002,Amazon Business Policy,08_segment_specific_and_third_party_seller_policies.md,Standard Amazon return policies also apply to Amazon Business purchases. Programs such as: - Spot Buys - Custom Quote purchases may have separate terms and conditions. Customers should consult: - Amazon Business Accounts Terms and Conditions - Feature Terms and Conditions,amazon_business_policy
amz_seg_003,Amazon Luxury Policy,08_segment_specific_and_third_party_seller_policies.md,Amazon Luxury purchases may have: - Specialized support processes - Different damage fee structures Customers should use the Amazon Luxury Help Page for assistance.,amazon_luxury_support
amz_seg_004,Third-Party Seller Returns,08_segment_specific_and_third_party_seller_policies.md,For items fulfilled and shipped by third-party sellers: - Returns are sent directly to the seller instead of Amazon Third-party sellers must provide one of the following: - A U.S. return address - A prepaid return label - A full refund without requiring the item to be returned,third_party_seller_returns
amz_seg_005,A-to-z Guarantee Protection,08_segment_specific_and_third_party_seller_policies.md,Customers experiencing issues with: - Third-party sellers - Seller-shipped products - Seller-related disputes may use Amazon’s A-to-z Guarantee protection program.,seller_dispute_protection
amz_int_001,UPS Drop-Off Returns,09_international_and_special_item_returns.md,Customers shipping from Amazon.com to Canada may return eligible purchases using prepaid UPS drop-off labels. Customers can locate nearby UPS drop-off locations using UPS services.,international_ups_returns
amz_int_002,DHL Drop-Off and Pickup Services,09_international_and_special_item_returns.md,Amazon supports DHL Express return services in select countries. Available options include: - DHL drop-off locations - DHL Express pickup scheduling Customers selecting pickup services receive confirmation emails with return instructions and may schedule pickup through MyDHL+.,international_dhl_returns
amz_int_003,Customer-Paid Return Shipping,09_international_and_special_item_returns.md,Customers may return items using shipping services paid at their own expense. Amazon may reimburse up to $25 in return postage costs depending on: - Country - Return eligibility Customers can track return progress through Your Orders.,self_paid_return_shipping
amz_int_004,Heavy and Bulky Item Returns,09_international_and_special_item_returns.md,Heavy or bulky items include products that: - Weigh 50 pounds or more - Exceed 59 inches on the longest side - Exceed 130 inches in girth These returns may: - Incur variable return shipping fees - Require specialty carrier pickup appointments - Require home collection services Additional seller fees may apply for third-party seller returns.,heavy_item_returns
amz_int_005,Discounted Purchase Refund Adjustments,09_international_and_special_item_returns.md,"If customers return items that were part of discount qualification offers, refund amounts may be reduced to account for discount adjustments.",discount_adjusted_refunds
amz_int_006,Returning Gifts,09_international_and_special_item_returns.md,"Customers may initiate gift returns using: - A 17-digit order number - Packing slips - Digital gift receipts If the order number is unavailable, customers should contact the gift giver. Gift exchanges and replacements require: - Returning the original gift - Placing a new order Gifted Kindle books may be exchanged for Amazon.com Gift Cards before acceptance.",gift_returns
amz_int_007,Bundle Purchase Returns,09_international_and_special_item_returns.md,Items purchased in a Bundle with Savings promotion must be returned together. Partial refunds are not available for partial bundle returns.,bundle_return_policy
amz_rep_001,Replacing Damaged or Defective Items,10_replacements_order_changes_and_cancellations.md,Customers may request replacements through Your Orders by selecting “Return or replace items.” Replacement orders: - Use the same shipping speed as the original order - Require return of the original item before the return-by date - May depend on stock availability If replacements are unavailable or the item was received as a gift: - Customers must return the item - Place a new order instead,replacement_orders
amz_rep_002,Photo Submission Requirements,10_replacements_order_changes_and_cancellations.md,Amazon may request photos showing product damage during replacement requests. Images should clearly display the damage to support return and replacement processing.,replacement_photo_verification
amz_can_001,Canceling Orders Before Shipping,10_replacements_order_changes_and_cancellations.md,Customers can cancel: - Physical items - Orders that have not entered the shipping process Orders sold and shipped by third-party sellers may usually be canceled within one business day. Once orders enter fulfillment: - Seller approval may be required To cancel an order: 1. Go to Your Orders 2. Select View or Edit Order 3. Select Cancel Items 4. Choose items to cancel 5. Select a cancellation reason 6. Submit the cancellation request,order_cancellation
amz_can_002,Items That Cannot Be Canceled,10_replacements_order_changes_and_cancellations.md,If Amazon-shipped orders cannot be canceled: - Customers should refuse delivery - Or return the package through the Online Returns Center If third-party seller orders cannot be canceled: - Customers should contact the seller directly,non_cancelable_orders
amz_ord_001,Changing Order Information,10_replacements_order_changes_and_cancellations.md,Customers may update: - Order quantity - Billing address - Delivery address - Payment method Changes are allowed only before dispatch. To modify an order: 1. Go to Your Orders 2. Select Order Details 3. Select Change beside the information to update 4. Follow the on-screen instructions Mobile devices may only support order cancellation functions.,order_modification
amz_ord_002,Third-Party Seller and Amazon Fresh Order Changes,10_replacements_order_changes_and_cancellations.md,To update shipping addresses for third-party seller orders: - Customers must contact the seller - Cancellation and reordering may be required Amazon Fresh and Whole Foods deliveries may support: - Adding items - Delivery modifications through dedicated delivery management pages.,special_order_modifications
