question,chunk id,intent label,doc title,chunk title,answer
Can I track a package from a third-party seller?,track_package_002,track_package,Tracking your package,Track packages from third-party sellers,"Yes, if the seller has provided tracking information to Amazon."
What should I do if seller tracking is not showing?,track_package_002,track_package,Tracking your package,Track packages from third-party sellers,Check Your Orders for updates or contact the third-party seller if tracking is unavailable.
can i track my seller order or only amazon ones,track_package_002,track_package,Tracking your package,Track packages from third-party sellers,You can track third-party seller packages if the seller provides tracking information to Amazon.
my seller order has tracking or not?,track_package_002,track_package,Tracking your package,Track packages from third-party sellers,Seller-shipped orders can be tracked if the seller provides tracking information to Amazon.
How do I track my Amazon package?,track_package_001,track_package,Tracking your package,Track package in Your Orders,"Go to Your Orders, find the order, select Track package, then select All updates to see delivery updates and tracking numbers."
Why does one order have different delivery dates for different items?,track_package_001,track_package,Tracking your package,Track package in Your Orders,"If you ordered more than one thing, the items may ship separately, so they can have separate delivery dates and tracking information."
Where can I see the latest location of my Amazon order?,track_package_001,track_package,Tracking your package,Track package in Your Orders,"Go to Your Orders, select the order, and choose Track package to see the latest tracking updates."
How do I check all tracking updates for my package?,track_package_001,track_package,Tracking your package,Track package in Your Orders,"Open Your Orders, find the package, select Track package, and then select All updates."
Why are items from the same order arriving separately?,track_package_001,track_package,Tracking your package,Track package in Your Orders,"Items in one order may ship separately, so each item can have a different delivery date."
How do I track my Amazon delivery?,track_package_001,track_package,Tracking your package,Track package in Your Orders,"Go to Your Orders, select the order, and choose Track package."
Where do I find the tracking page for my order?,track_package_001,track_package,Tracking your package,Track package in Your Orders,"Open Your Orders, find the item, and select Track package."
Can I see where my package is right now?,track_package_001,track_package,Tracking your package,Track package in Your Orders,Yes. Use Track package in Your Orders to see the latest location and status.
Where can I see all delivery updates?,track_package_001,track_package,Tracking your package,Track package in Your Orders,Select Track package and then view all tracking updates for the order.
Can I track every item in the same order separately?,track_package_001,track_package,Tracking your package,Track package in Your Orders,"Yes. Items may ship separately, so check tracking for each item in Your Orders."
Why does one order have multiple tracking numbers?,track_package_001,track_package,Tracking your package,Track package in Your Orders,Items from the same order may ship separately and receive separate tracking numbers.
How do I know when my package will arrive?,track_package_001,track_package,Tracking your package,Track package in Your Orders,Check the estimated delivery date in Your Orders and the latest tracking status.
My order says arriving today. Where do I check progress?,track_package_001,track_package,Tracking your package,Track package in Your Orders,Use Track package in Your Orders to see the current delivery progress.
Can Amazon show me carrier tracking details?,track_package_001,track_package,Tracking your package,Track package in Your Orders,"Yes, tracking details appear in Your Orders when available from the carrier."
Where can I check if my package is delayed?,track_package_001,track_package,Tracking your package,Track package in Your Orders,Open Track package in Your Orders and check the latest delivery update.
where is my package it was supposed to come today,track_package_001,track_package,Tracking your package,Track package in Your Orders,"Go to Your Orders, select the order, and choose Track package to see the latest status."
how do i chekc where my amazon order is rn,track_package_001,track_package,Tracking your package,Track package in Your Orders,Open Your Orders and select Track package for the order.
i ordered 3 things why r they coming seperately,track_package_001,track_package,Tracking your package,Track package in Your Orders,Items from the same order may ship separately and have different delivery dates.
how can i see where my parcel is now,track_package_001,track_package,Tracking your package,Track package in Your Orders,"Go to Your Orders, select the order, and choose Track package."
where do i find tracking for my amazon order,track_package_001,track_package,Tracking your package,Track package in Your Orders,Open Your Orders and select Track package for the item.
why is only one item showing as shipped,track_package_001,track_package,Tracking your package,Track package in Your Orders,Items in one order may ship separately and have different delivery dates.
can i check all updates for my delivery,track_package_001,track_package,Tracking your package,Track package in Your Orders,Select Track package and view all tracking updates.
"I bought something from a seller, not Amazon. Where does the return go?",amz_seg_004,third_party_return_process,Segment-Specific and Third-Party Seller Policies,Third-Party Seller Returns,Returns for items fulfilled and shipped by third-party sellers are sent directly to the seller.
How do I begin a return request on Amazon?,amz_ret_010,initiate_return_process,"Initiating, Packaging, and Sending Returns",Starting a Return Request,1. Go to Your Orders → 2. Find the eligible item → 3. Select Return Items beside the product → 4. Follow the return instructions shown on-screen
How long do I usually have to return something on Amazon?,amz_ret_003,return_window_inquiry,Return Windows and Eligibility Exceptions,Standard 30-Day Return Window,Most items sold on Amazon.com can be returned within 30 days of delivery.
Can I put items from different orders into the same return box?,amz_ret_012,return_shipment_rules,"Initiating, Packaging, and Sending Returns",Separate Return Shipment Rules,No. Customers should not combine items from separate orders in the same return package.
How do I return a gift I received from someone else?,amz_int_006,gift_return_workflow,International and Special Item Returns,Returning Gifts,1. Go to the Returns page → 2. Enter the 17-digit order number from the packing slip or digital gift receipt → 3. Start the return request → 4. Follow the return instructions shown
What does “Return Requested” mean in my return status?,amz_track_003,return_status_explanation,Tracking Returns and Refund Status,Return Status Types,It means Amazon accepted your return request and is waiting to receive the item.
Why was I charged for return shipping?,amz_fee_001,return_shipping_fee_inquiry,"Return Fees, Damage Fees, and Partial Refunds",Return Shipping Fees,"Return shipping fees may apply if you selected a paid return option, returned a bulky item, or have an unusually high return rate."
Do opened video games have restocking fees?,amz_fee_004,restocking_fee_inquiry,"Return Fees, Damage Fees, and Partial Refunds",Restocking Fees,Yes. Opened or activated video games may incur a 100% restocking fee.
I received a suspicious email pretending to be Amazon. What should I do?,amz_sec_001,scam_reporting_help,"Security, Scams, and Fraud Reporting",Reporting Amazon Scams and Fraud,You should report suspicious communications immediately through Amazon’s scam reporting options.
My replacement item hasn’t shipped yet. Is that normal?,amz_rep_001,replacement_order_status,"Replacements, Order Changes, and Cancellations",Replacing Damaged or Defective Items,Yes. Replacement shipping may depend on stock availability and may occur after the original item is returned.
How do I replace a damaged or defective item?,amz_rep_001,replacement_request_workflow,"Replacements, Order Changes, and Cancellations",Replacing Damaged or Defective Items,1. Go to Your Orders → 2. Select Return or replace items beside the item → 3. Select the product to replace → 4. Choose a reason for return → 5. Add any details if needed → 6. Follow the on-screen instructions
Will Amazon email me when the refund is processed?,amz_track_004,refund_notification_inquiry,Tracking Returns and Refund Status,Refund Visibility and Transactions,Yes. Customers receive refund summary emails once refunds are issued.
How can I track the refund Amazon already issued?,amz_track_004,refund_tracking_workflow,Tracking Returns and Refund Status,Refund Visibility and Transactions,Option 1: Open the return confirmation email and select Return/Refund Status. Option 2: Go to Your Returns → find the item → review refund details. Option 3: Check Your Transactions for refund activity.
How long does a refund take for an undeliverable package?,undeliverable_package_003,undeliverable_package,Undeliverable Packages,Refund Times for Undeliverable Packages,"You can expect a refund within 7 business days after the return is received, though some banks may need another 3–5 business days to process it."
How long does a refund to a debit card usually take?,amz_ref_002,refund_timeline_check,"Refund Processing, Timelines, and Refund Types",Refund Timelines by Payment Method,Debit card refunds may take up to 10 business days.
When will Amazon issue my refund after I send the item back?,amz_ret_002,refund_processing_time,General Amazon Return Policy,Refund Processing Overview,Refunds are issued after Amazon or the third-party seller receives and processes the returned item. Processing can take up to 30 days.
Why is tracking information missing for my Amazon order?,missing_tracking_information_005,missing_tracking_information,Missing Tracking Information,Reasons Why Your Tracking Information Is Not Available,"Tracking may be missing because the carrier has not scanned the package, tracking database updates are delayed, the shipment is not trackable, the seller did not provide tracking, or the order is a gift."
Why does my order not have tracking details yet?,missing_tracking_information_005,missing_tracking_information,Missing Tracking Information,Reasons Why Your Tracking Information Is Not Available,Tracking may be unavailable because the carrier has not scanned the package yet.
Why is there no tracking information for my order?,missing_tracking_information_005,missing_tracking_information,Missing Tracking Information,Reasons Why Your Tracking Information Is Not Available,Tracking may not appear until the carrier scans the package.
My order shipped but tracking is missing. Why?,missing_tracking_information_005,missing_tracking_information,Missing Tracking Information,Reasons Why Your Tracking Information Is Not Available,The carrier may not have scanned the package yet.
My tracking number does not show updates. What does that mean?,missing_tracking_information_005,missing_tracking_information,Missing Tracking Information,Reasons Why Your Tracking Information Is Not Available,It may mean the carrier has not updated or scanned the package yet.
Why does my package have no tracking number?,missing_tracking_information_005,missing_tracking_information,Missing Tracking Information,Reasons Why Your Tracking Information Is Not Available,Tracking may be unavailable depending on carrier scans or seller-provided information.
Why is my tracking link not working?,missing_tracking_information_005,missing_tracking_information,Missing Tracking Information,Reasons Why Your Tracking Information Is Not Available,The carrier may not have activated or scanned the tracking number yet.
Why does Amazon say tracking information is not available?,missing_tracking_information_005,missing_tracking_information,Missing Tracking Information,Reasons Why Your Tracking Information Is Not Available,Tracking may be unavailable due to delayed carrier scans or seller tracking issues.
why is tracking not showing for my order,missing_tracking_information_005,missing_tracking_information,Missing Tracking Information,Reasons Why Your Tracking Information Is Not Available,Tracking may not appear until the carrier scans the package.
why tracking details not showing yet,missing_tracking_information_005,missing_tracking_information,Missing Tracking Information,Reasons Why Your Tracking Information Is Not Available,Tracking may not appear until the carrier scans the package.
Why did Amazon ask me for pictures of my damaged product?,amz_rep_002,damage_photo_requirement,"Replacements, Order Changes, and Cancellations",Photo Submission Requirements,Amazon may request photos clearly showing the damage to support replacement processing.
Why did I only get part of my refund back?,amz_fee_005,partial_refund_reason,"Return Fees, Damage Fees, and Partial Refunds",Partial Refund Policies,"Refunds may be reduced if returned items show customer use, damage, or missing accessories or parts."
Are gift return refunds sent back to the original buyer?,amz_ref_005,gift_refund_policy,"Refund Processing, Timelines, and Refund Types",Partial and Gift Refunds,Gift return refunds are issued to the person who initiated the return request.
Only part of the product is missing. What should I do?,missing_item_from_order_004,missing_item_from_order,Find a Missing Item from Your Order,Part of an item is missing,"First confirm the part is missing from the product packaging. If you cannot find it, contact the manufacturer. If they cannot help, return the item through Your Orders."
A component of my product is missing. What should I check?,missing_item_from_order_004,missing_item_from_order,Find a Missing Item from Your Order,Part of an item is missing,Check the product packaging carefully to confirm whether the part is missing.
An accessory is missing from my product box. What should I do?,missing_item_from_order_004,missing_item_from_order,Find a Missing Item from Your Order,Part of an item is missing,Check the packaging carefully and contact support if the part is still missing.
I received the main product but not the included part.,missing_item_from_order_004,missing_item_from_order,Find a Missing Item from Your Order,Part of an item is missing,Check all packaging and contact support if the included part is missing.
"My package is not lost, but an accessory is missing.",missing_item_from_order_004,missing_item_from_order,Find a Missing Item from Your Order,Part of an item is missing,Check the product packaging carefully and contact support if the accessory is missing.
accesory missing from the product box,missing_item_from_order_004,missing_item_from_order,Find a Missing Item from Your Order,Part of an item is missing,Check all packaging carefully and contact support if the accessory is still missing.
product came but charger is missing,missing_item_from_order_004,missing_item_from_order,Find a Missing Item from Your Order,Part of an item is missing,Check the packaging carefully and contact support if the part is still missing.
Do I need the original packaging when sending something back?,amz_ret_011,return_packaging_requirements,"Initiating, Packaging, and Sending Returns",Packaging and Condition Requirements,"Yes. Returned items should include original packaging, tags, accessories, manuals, and related components."
How do I contact a third-party seller when tracking is unavailable?,missing_tracking_information_003,missing_tracking_information,Missing Tracking Information,Orders Sold and Fulfilled by Third-Party Sellers,"Go to Your Orders, find the order, select Problem with Order, choose the relevant topic, and select Contact Seller. Allow two days for the seller to respond."
What should I do if a third-party order has no tracking?,missing_tracking_information_003,missing_tracking_information,Missing Tracking Information,Orders Sold and Fulfilled by Third-Party Sellers,"Go to Your Orders, select Problem with Order, choose the issue, and contact the seller."
A third-party seller order has no tracking. What should I do?,missing_tracking_information_003,missing_tracking_information,Missing Tracking Information,Orders Sold and Fulfilled by Third-Party Sellers,"Go to Your Orders, select Problem with Order, and contact the seller."
What if the seller did not provide tracking details?,missing_tracking_information_003,missing_tracking_information,Missing Tracking Information,Orders Sold and Fulfilled by Third-Party Sellers,Contact the third-party seller from Your Orders.
Should I contact the seller if tracking is missing?,missing_tracking_information_003,missing_tracking_information,Missing Tracking Information,Orders Sold and Fulfilled by Third-Party Sellers,"Yes, for third-party seller orders, contact the seller through Your Orders."
third party seller didnt give any tracking id,missing_tracking_information_003,missing_tracking_information,Missing Tracking Information,Orders Sold and Fulfilled by Third-Party Sellers,"Go to Your Orders, select Problem with Order, and contact the seller."
seller didnt give tracking details,missing_tracking_information_003,missing_tracking_information,Missing Tracking Information,Orders Sold and Fulfilled by Third-Party Sellers,"Go to Your Orders, select Problem with Order, and contact the seller."
When will tracking appear for an order sold and fulfilled by Amazon?,missing_tracking_information_002,missing_tracking_information,Missing Tracking Information,Orders Sold and Fulfilled by Amazon,Tracking may appear after the package reaches the carrier and receives its first carrier scan.
Is it normal for tracking to appear late?,missing_tracking_information_002,missing_tracking_information,Missing Tracking Information,Orders Sold and Fulfilled by Amazon,Yes. Tracking may appear after the package reaches the carrier and receives its first scan.
Is it normal for tracking information to be delayed?,missing_tracking_information_002,missing_tracking_information,Missing Tracking Information,Orders Sold and Fulfilled by Amazon,Yes. Tracking can appear after the first carrier scan.
Can tracking be missing even after shipment?,missing_tracking_information_002,missing_tracking_information,Missing Tracking Information,Orders Sold and Fulfilled by Amazon,Yes. Tracking may appear only after the package is scanned by the carrier.
no tracking info even tho it says shipped,missing_tracking_information_002,missing_tracking_information,Missing Tracking Information,Orders Sold and Fulfilled by Amazon,Tracking can appear after the package receives its first carrier scan.
no tracking update since order shipped,missing_tracking_information_002,missing_tracking_information,Missing Tracking Information,Orders Sold and Fulfilled by Amazon,Tracking may update after the carrier scans the package.
What should I do if Amazon tracking is unavailable?,missing_tracking_information_001,missing_tracking_information,Missing Tracking Information,Missing Tracking Information,Wait for the carrier scan and check Your Orders again later.
Tracking has not updated for days. What should I check?,missing_tracking_information_001,missing_tracking_information,Missing Tracking Information,Missing Tracking Information,Check Your Orders for updated information and wait for carrier scans.
My package status is blank. What should I do?,missing_tracking_information_001,missing_tracking_information,Missing Tracking Information,Missing Tracking Information,Check again later because tracking may update after the carrier scan.
Can I still receive my order if tracking is missing?,missing_tracking_information_001,missing_tracking_information,Missing Tracking Information,Missing Tracking Information,Yes. A package may still be delivered even if tracking updates are unavailable.
Tracking is missing for a hotel delivery. What should I do?,missing_tracking_information_001,missing_tracking_information,Missing Tracking Information,Missing Tracking Information,Check Your Orders again later because tracking may update after carrier scanning.
tracking number isnt updating since yesterday,missing_tracking_information_001,missing_tracking_information,Missing Tracking Information,Missing Tracking Information,Check Your Orders again later because tracking may update after the carrier scans the package.
What happens if I miss the return deadline?,amz_fee_002,late_return_fee_inquiry,"Return Fees, Damage Fees, and Partial Refunds",Late Return Fees,A late fee may apply. It can be 20% of the item price during the first 30 days after the return-by date and 100% afterward.
What should I do if my shipped order can’t be canceled anymore?,amz_can_002,shipped_order_cancellation_help,"Replacements, Order Changes, and Cancellations",Items That Cannot Be Canceled,You should refuse delivery or return the package through the Online Returns Center.
What should I do if 48 hours have passed after the estimated delivery date?,late_delivery_006,late_delivery,Late Deliveries,If 48 hours have passed since your estimated delivery date,"For orders shipped by Amazon, contact Customer Service within 30 days of the estimated delivery date. For orders shipped and sold by a third-party seller, contact the seller."
What if my late package still has not arrived after 48 hours?,late_delivery_006,late_delivery,Late Deliveries,If 48 hours have passed since your estimated delivery date,"If 48 hours have passed, contact Customer Service within 30 days of the estimated delivery date."
What if my package is late by more than 48 hours?,late_delivery_006,late_delivery,Late Deliveries,If 48 hours have passed since your estimated delivery date,Contact Customer Service within 30 days of the estimated delivery date.
When should I contact Amazon for a delayed delivery?,late_delivery_006,late_delivery,Late Deliveries,If 48 hours have passed since your estimated delivery date,Contact Customer Service if 48 hours have passed since the estimated delivery date.
How long do I have to report a late delivery?,late_delivery_006,late_delivery,Late Deliveries,If 48 hours have passed since your estimated delivery date,Contact Customer Service within 30 days of the estimated delivery date.
its been 2 days after expected delivery date what now,late_delivery_006,late_delivery,Late Deliveries,If 48 hours have passed since your estimated delivery date,Contact Customer Service if 48 hours have passed since the estimated delivery date.
delivery date passed 48 hrs ago,late_delivery_006,late_delivery,Late Deliveries,If 48 hours have passed since your estimated delivery date,Contact Customer Service if 48 hours have passed since the estimated delivery date.
How will Amazon tell me if my delivery is late?,late_delivery_004,late_delivery,Late Deliveries,How we’ll contact you if a delivery is late,Amazon updates tracking with real-time information and emails you when it knows there is a delay. Correspondence also appears in the Message Center.
Will Amazon notify me if my order is delayed?,late_delivery_004,late_delivery,Late Deliveries,How we’ll contact you if a delivery is late,Yes. Amazon updates tracking information and may send an email when a delay is known.
Does Amazon send updates for delayed packages?,late_delivery_004,late_delivery,Late Deliveries,How we’ll contact you if a delivery is late,Yes. Amazon may update tracking or send an email about the delay.
What counts as a bulky item return?,amz_int_004,bulky_item_definition,International and Special Item Returns,Heavy and Bulky Item Returns,"Bulky items include products weighing 50 pounds or more, exceeding 59 inches in length, or exceeding 130 inches in girth."
Can I get a refund if a guaranteed delivery is late?,late_delivery_007,late_delivery,Late Deliveries,Guaranteed deliveries,"For late guaranteed deliveries, you may be eligible for a delivery fee refund. Go to Your Orders, choose the late order, then Problem with an order > Shipping or delivery issues > Shipment is late."
