question,intent label
What is the way to check the return policy?,refund_returns_eligibility
How do I check the photo delivery?,delivery_status_tracking_details
I'm trying to retry my checkout retry,payment_issues_declines_retries
Please show me how to update details regarding delivery status delays,delivery_status_delays
Can I change details regarding refund tracking status on Amazon?,refund_tracking_status
Can I apply credit balance on Amazon?,refund_credits_balances
I'm trying to stop my order history,modify_order
I'm trying to manage my gate access code,modify_address
I'm trying to reduce my return deduction,refund_restocking_fees
I want to change my customer support legal query,customer_support_legal
Please show me how to set local currency,payment_issues_currency_converter
What is the way to set up the teen order?,manage_account_teen_settings
What is the way to get the billing receipt?,billing
Please show me how to recognize security trends,payment_issues_fraud_scams
Please show me how to update delivery instructions,modify_address
I need to resolve checkout retry,payment_issues_declines_retries
Please show me how to manage wallet,payment_issues_cards_wallet
Can I check promotional credit on Amazon?,refund_credits_balances
I need assistance to update my details regarding customer support contact,customer_support_contact
Can you help me opt out of my subscribe and save alerts?,other_query
Can I reduce restocking fee on Amazon?,refund_restocking_fees
I need assistance to update my details regarding delivery status alerts,delivery_status_alerts
How do I check the return policy?,refund_returns_eligibility
Is it possible to fix this declined card?,payment_issues_declines_retries
Is it possible to locate this map tracking?,delivery_status_tracking_details
I'm trying to switch my login with Amazon,manage_account_profiles_devices
I need to review customer surveys,customer_feedback
How do I initiate the personalized products?,refund_returns_eligibility
I'm trying to investigate my unauthorized payment,payment_issues_unknown_charges
What is the way to use the chat translation?,customer_feedback
I'm trying to troubleshoot my two-step verification,manage_account_login_security
Can you help me print my invoice pdf?,billing
I want to update my customer support contact query,customer_support_contact
How do I return the opened items?,refund_returns_eligibility
Please show me how to add device sign-out,manage_account_profiles_devices
Please show me how to identify suspicious activity,payment_issues_fraud_scams
Please show me how to clear international return,refund_international_returns
Please show me how to change password,manage_account_login_security
Can I invite teen account settings on Amazon?,manage_account_teen_settings
Is it possible to check this parcel tracking info?,delivery_status_tracking_details
Can I set exchange rates on Amazon?,payment_issues_currency_converter
Is it possible to locate this package location?,delivery_status_tracking_details
I'm trying to reset my security code,manage_account_login_security
I'm trying to troubleshoot my security code,manage_account_login_security
Is it possible to retry this failed transaction?,payment_issues_declines_retries
How do I check the details regarding customer support bereavement?,customer_support_bereavement
Please show me how to check benefit balance,refund_credits_balances
I need to pay international return,refund_international_returns
Is it possible to apply this promotional credit?,refund_credits_balances
Please show me how to update debit card,payment_issues_cards_wallet
I need to start personalized products,refund_returns_eligibility
I'm trying to manage my delivery status delays query,delivery_status_delays
Can you help me verify my 2SV?,manage_account_login_security
Please show me how to obtain billing receipt,billing
Please show me how to manage customer support bereavement query,customer_support_bereavement
Is it possible to check this delivery status alerts query?,delivery_status_alerts
Please show me how to update details regarding delivery status rules policies,delivery_status_rules_policies
I want to cancel my vat rates,other_query
I need assistance to find my unknown charge,payment_issues_unknown_charges
I need to calculate return deduction,refund_restocking_fees
I want to avoid my security trends,payment_issues_fraud_scams
I need to reduce damage fee,refund_restocking_fees
I want to avoid my payment scam,payment_issues_fraud_scams
I need to retry checkout retry,payment_issues_declines_retries
What is the way to identify the security trends?,payment_issues_fraud_scams
Can I change data access apps on Amazon?,manage_account_general_settings
Is it possible to update this details regarding customer support bereavement?,customer_support_bereavement
I need to check details regarding refund tracking status,refund_tracking_status
I need assistance to manage my subscription email preferences,other_query
Can I change the delivery speed after checkout?,modify_order
I need assistance to change my opt out marketing,other_query
Please show me how to give satisfaction survey,customer_feedback
I need to change card currency,payment_issues_currency_converter
Please show me how to update password,manage_account_login_security
Can you help me retry my declined payment?,payment_issues_declines_retries
Is it possible to archive this order history?,modify_order
I need to edit subscribe and save alerts,other_query
Can I change exchange rates on Amazon?,payment_issues_currency_converter
I want to save my secondary address,modify_address
Will Amazon redeliver an undeliverable parcel?,delivery_status_undeliverable
Please show me how to add debit card,payment_issues_cards_wallet
I need to reduce restocking fee,refund_restocking_fees
How do I initiate the return policy?,refund_returns_eligibility
I'm trying to manage my delivery status undeliverable query,delivery_status_undeliverable
How do I remove the default payment?,payment_issues_cards_wallet
Can I change newsletter subscriptions on Amazon?,other_query
I want to update my wallet,payment_issues_cards_wallet
Please show me how to manage details regarding delivery status delays,delivery_status_delays
I'm trying to set my local currency,payment_issues_currency_converter
I need assistance to change my delivery address,modify_address
How do I update the details regarding refund tracking status?,refund_tracking_status
Can I update gift card balance on Amazon?,manage_account_general_settings
What is the way to set the exchange rates?,payment_issues_currency_converter
What is the way to recover the 2SV?,manage_account_login_security
I want to change my details regarding delivery status alerts,delivery_status_alerts
Is it possible to change this details regarding customer support bereavement?,customer_support_bereavement
Is it possible to initiate this return eligibility?,refund_returns_eligibility
I need assistance to check my rewards points,refund_credits_balances
Can you help me update my details regarding delivery status rules policies?,delivery_status_rules_policies
I need to configure mobile login,manage_account_profiles_devices
Return label instructions for international returns.,refund_international_returns
Is it possible to update this details regarding customer support legal?,customer_support_legal
Can I get tax invoice on Amazon?,billing
What is the way to update the archived orders list?,modify_order
Can you help me archive my marketing emails?,manage_account_general_settings
I want to change my email verification,manage_account_login_security
I want to change my international shopping,payment_issues_currency_converter
I need assistance to set default my gate access code,modify_address
Please show me how to save secondary address,modify_address
Please show me how to set default address book,modify_address
I need assistance to change my two-step verification,manage_account_login_security
I want to convert my local currency,payment_issues_currency_converter
Is it possible to check this details regarding customer support legal?,customer_support_legal
Please show me how to complete customer surveys,customer_feedback
I need to check return window,refund_returns_eligibility
Please show me how to check details regarding delivery status rules policies,delivery_status_rules_policies
Can I fix checkout retry on Amazon?,payment_issues_declines_retries
Please show me how to logout login with Amazon,manage_account_profiles_devices
What is the way to unsubscribe from the opt out marketing?,other_query
Please show me how to save shipping address,modify_address
How do I remove the shipping address?,modify_address
Can I logout account switcher on Amazon?,manage_account_profiles_devices
Please show me how to use translation feedback,customer_feedback
I need assistance to change my password,manage_account_login_security
Please show me how to start opened items,refund_returns_eligibility
What is the way to edit the shipping address?,modify_address
I want to manage my payment option,payment_issues_cards_wallet
Please show me how to remove delivery speed,modify_order
Can you help me set my exchange rates?,payment_issues_currency_converter
Please show me how to recover security code,manage_account_login_security
How do I update the address book?,modify_address
I need assistance to apply my benefit balance,refund_credits_balances
Please show me how to view map tracking,delivery_status_tracking_details
I need to change customer support bereavement query,customer_support_bereavement
I want to find my order invoice copy,billing
I want to use my credit balance,refund_credits_balances
Please show me how to report fake texts,payment_issues_fraud_scams
I want to invite my teen order,manage_account_teen_settings
Is it possible to manage this details regarding refund tracking status?,refund_tracking_status
Can I delete mobile login on Amazon?,manage_account_profiles_devices
I'm trying to check my delivery status alerts query,delivery_status_alerts
Can you help me pay my international label?,refund_international_returns
Can I delete gate access code on Amazon?,modify_address
Please show me how to archive language preference,manage_account_general_settings
Can you help me modify my teen account settings?,manage_account_teen_settings
What is the way to change the details regarding delivery status rules policies?,delivery_status_rules_policies
Is it possible to avoid this security trends?,payment_issues_fraud_scams
What is the way to change the international shopping?,payment_issues_currency_converter
I'm trying to change my subscription email preferences,other_query
What is the way to check the details regarding delivery status delays?,delivery_status_delays
I'm trying to submit my translation tools,customer_feedback
What is the way to select the card currency?,payment_issues_currency_converter
I'm trying to update my subscription email preferences,other_query
Who pays for return shipping on international orders?,refund_international_returns
I need to avoid fake texts,payment_issues_fraud_scams
What is the way to identify the duplicate charge?,payment_issues_unknown_charges
Can you help me check my unknown charge?,payment_issues_unknown_charges
What is the way to find the prime subscription charge?,payment_issues_unknown_charges
Is it possible to charge this partial refund fee?,refund_restocking_fees
I need assistance to cancel my order items,modify_order
Is it possible to switch this shopping profile?,manage_account_profiles_devices
Can you help me modify my teen login?,manage_account_teen_settings
Can I change details regarding customer support bereavement on Amazon?,customer_support_bereavement
Please show me how to update manage account closure query,manage_account_closure
Please show me how to pay international label,refund_international_returns
I'm trying to modify my teen order,manage_account_teen_settings
Can I check return eligibility on Amazon?,refund_returns_eligibility
Can you help me locate my map tracking?,delivery_status_tracking_details
How do I change the customer support contact query?,customer_support_contact
I'm trying to view my photo delivery,delivery_status_tracking_details
Can you help me give my chat translation?,customer_feedback
Can you help me change my shipping address on order?,modify_order
I want to get my billing receipt,billing
How do I avoid the fake texts?,payment_issues_fraud_scams
I want to change my data access apps,manage_account_general_settings
I need assistance to check my personalized products,refund_returns_eligibility
Is it possible to update this details regarding delivery status delays?,delivery_status_delays
I need assistance to return my return eligibility,refund_returns_eligibility
How do I change the currency converter?,payment_issues_currency_converter
Is it possible to download this invoice pdf?,billing
I need assistance to change my details regarding delivery status undeliverable,delivery_status_undeliverable
I need to archive account settings,manage_account_general_settings
Is it possible to report this payment scam?,payment_issues_fraud_scams
How do I ship the return shipping cost?,refund_international_returns
I need to convert exchange rates,payment_issues_currency_converter
How do I manage the refund tracking status query?,refund_tracking_status
Please show me how to troubleshoot email verification,manage_account_login_security
How chat machine translation works for agents,customer_feedback
I want to update my delivery status rules policies query,delivery_status_rules_policies
I need to update delivery status delays query,delivery_status_delays
Can you help me update my customer support bereavement query?,customer_support_bereavement
Can I check details regarding refund tracking status on Amazon?,refund_tracking_status
I want to recognize my suspicious activity,payment_issues_fraud_scams
I need to check marketing emails,manage_account_general_settings
I want to clear my customs returns,refund_international_returns
Is it possible to print this billing receipt?,billing
Is it possible to change this opt out marketing?,other_query
I'm trying to update my details regarding customer support legal,customer_support_legal
How do I avoid the gift card scam?,payment_issues_fraud_scams
Can I apply promotional credit on Amazon?,refund_credits_balances
I want to use my promotional credit,refund_credits_balances
Please show me how to check return policy,refund_returns_eligibility
Please show me how to check data access apps,manage_account_general_settings
What is the way to remove the delivery speed?,modify_order
I need assistance to archive my delivery speed,modify_order
I want to deduct my partial refund fee,refund_restocking_fees
How do I answer the customer surveys?,customer_feedback
I need assistance to check my card currency,payment_issues_currency_converter
I want to manage my details regarding manage account closure,manage_account_closure
Can you help me change my customer support bereavement query?,customer_support_bereavement
I need assistance to fix my declined card,payment_issues_declines_retries
Can you help me modify my delivery speed?,modify_order
How do I set default the secondary address?,modify_address
Can I retry checkout retry on Amazon?,payment_issues_declines_retries
Please show me how to update delivery status alerts query,delivery_status_alerts
Please show me how to change customer support bereavement query,customer_support_bereavement
I'm trying to check my details regarding manage account closure,manage_account_closure
Is it possible to check this package location?,delivery_status_tracking_details
Restocking fee rules for opened electronics.,refund_restocking_fees
Can I set default backup payment method on Amazon?,payment_issues_cards_wallet
SMS updates terms and conditions for tracking.,delivery_status_alerts
I want to investigate my unauthorized payment,payment_issues_unknown_charges
I need to check package location,delivery_status_tracking_details
Edit shipping address of an order already placed,modify_order
What is the way to check the credit balance?,refund_credits_balances
I want to delete my account switcher,manage_account_profiles_devices
I'm trying to start my return window,refund_returns_eligibility
Can I initiate return window on Amazon?,refund_returns_eligibility
Can you help me change my details regarding delivery status undeliverable?,delivery_status_undeliverable
Is it possible to remove this shipping address on order?,modify_order
What is the way to update the account settings?,manage_account_general_settings
I want to fix my declined payment,payment_issues_declines_retries
What is the way to give the satisfaction survey?,customer_feedback
Is it possible to ship this international return?,refund_international_returns
What is the way to check the customer support bereavement query?,customer_support_bereavement
I need assistance to reduce my restocking fee,refund_restocking_fees
Can you help me use my chat translation?,customer_feedback
I need assistance to update my payment method on order,modify_order
I need assistance to reduce my damage fee,refund_restocking_fees
How do I update the details regarding customer support bereavement?,customer_support_bereavement
What is the way to get the proof of purchase?,billing
What is the way to edit the subscription email preferences?,other_query
Can I check delivery status undeliverable query on Amazon?,delivery_status_undeliverable
I need to change exchange rates,payment_issues_currency_converter
Can I investigate unauthorized payment on Amazon?,payment_issues_unknown_charges
Is it possible to use this credit balance?,refund_credits_balances
I need assistance to edit my shipping address,modify_address
Can I fix failed transaction on Amazon?,payment_issues_declines_retries
What is the way to check the exchange rates?,payment_issues_currency_converter
Can I report duplicate charge on Amazon?,payment_issues_unknown_charges
I need assistance to check my delivery status rules policies query,delivery_status_rules_policies
Please show me how to set up teen approval,manage_account_teen_settings
Can I fix declined card on Amazon?,payment_issues_declines_retries
Can I approve teen login on Amazon?,manage_account_teen_settings
I want to pay my return shipping cost,refund_international_returns
Can you help me remove my wallet?,payment_issues_cards_wallet
I need assistance to remove my teen login,manage_account_teen_settings
I need assistance to recognize my phishing email,payment_issues_fraud_scams
I want to apply my rewards points,refund_credits_balances
Can you help me fix my payment retry?,payment_issues_declines_retries
How do I check the unknown charge?,payment_issues_unknown_charges
Please show me how to locate parcel tracking info,delivery_status_tracking_details
Can you help me manage my opt out marketing?,other_query
Please show me how to view parcel tracking info,delivery_status_tracking_details
Can I take chat translation on Amazon?,customer_feedback
How do I update the details regarding delivery status rules policies?,delivery_status_rules_policies
I need to change 2SV,manage_account_login_security
What is the way to recover the login fail?,manage_account_login_security
How do I recover the email verification?,manage_account_login_security
What is the way to manage the manage account closure query?,manage_account_closure
Can I reduce partial refund fee on Amazon?,refund_restocking_fees
What is the way to add the credit card?,payment_issues_cards_wallet
I need assistance to stop my delivery speed,modify_order
How do I resolve the failed transaction?,payment_issues_declines_retries
What is the way to track the map tracking?,delivery_status_tracking_details
Is it possible to ship this international label?,refund_international_returns
Can you help me fix my declined payment?,payment_issues_declines_retries
Can I logout device sign-out on Amazon?,manage_account_profiles_devices
Please show me how to fix declined payment,payment_issues_declines_retries
I need assistance to request my billing receipt,billing
Can I pay return shipping cost on Amazon?,refund_international_returns
Can I check unrecognized transaction on Amazon?,payment_issues_unknown_charges
I want to check my photo delivery,delivery_status_tracking_details
Is it possible to archive this language preference?,manage_account_general_settings
I need assistance to sign out my login with Amazon,manage_account_profiles_devices
Remove an expired debit card from my account.,payment_issues_cards_wallet
Can you help me save my tax invoice?,billing
Manage third-party apps with data access.,manage_account_general_settings
Can I investigate duplicate charge on Amazon?,payment_issues_unknown_charges
I need to modify teen approval,manage_account_teen_settings
I'm trying to manage my customer support bereavement query,customer_support_bereavement
Please show me how to deduct damage fee,refund_restocking_fees
Can I start personalized products on Amazon?,refund_returns_eligibility
Can I chat with agents in my own language?,customer_feedback
I need to answer satisfaction survey,customer_feedback
I want to check my return policy,refund_returns_eligibility
What is the way to manage the details regarding refund tracking status?,refund_tracking_status
How do I calculate the damage fee?,refund_restocking_fees
I want to check my details regarding customer support contact,customer_support_contact
I need to use switch account,manage_account_profiles_devices
Can you help me archive my delivery speed?,modify_order
What is the way to view the rewards points?,refund_credits_balances
Is it possible to delete this secondary address?,modify_address
What is the way to configure the mobile login?,manage_account_profiles_devices
What is the way to review the chat translation?,customer_feedback
Please show me how to submit translation feedback,customer_feedback
I'm trying to save my gate access code,modify_address
Can you help me view my subscribe and save alerts?,other_query
I need assistance to remove my order history,modify_order
Can you help me manage my customer support bereavement query?,customer_support_bereavement
I need assistance to unsubscribe from my subscription email preferences,other_query
Is it possible to answer this customer surveys?,customer_feedback
Is it possible to update this language preference?,manage_account_general_settings
I need assistance to select my local currency,payment_issues_currency_converter
I need to change details regarding delivery status rules policies,delivery_status_rules_policies
Please show me how to view tracking link,delivery_status_tracking_details
I need to check details regarding delivery status undeliverable,delivery_status_undeliverable
I'm trying to unsubscribe my data access apps,manage_account_general_settings
I need assistance to remove my address book,modify_address
I need to change delivery address,modify_address
I need to update MFA,manage_account_login_security
I want to check my customer support legal query,customer_support_legal
I need assistance to locate my parcel tracking info,delivery_status_tracking_details
Please show me how to track parcel tracking info,delivery_status_tracking_details
I'm trying to manage my details regarding customer support bereavement,customer_support_bereavement
I need assistance to troubleshoot my two-step verification,manage_account_login_security
Is it possible to change this deals mailing list?,other_query
I want to check my parcel tracking info,delivery_status_tracking_details
Please show me how to stop archived orders list,modify_order
Is it possible to modify this order history?,modify_order
Can you help me charge my damage fee?,refund_restocking_fees
Please show me how to review satisfaction survey,customer_feedback
I'm trying to fix my checkout retry,payment_issues_declines_retries
How do I set up the teen login?,manage_account_teen_settings
Is it possible to check this delivery status rules policies query?,delivery_status_rules_policies
I want to view my promotional credit,refund_credits_balances
I want to update my details regarding customer support bereavement,customer_support_bereavement
How do I update the delivery speed?,modify_order
I need assistance to configure my shopping profile,manage_account_profiles_devices
I want to return my customs returns,refund_international_returns
How do I set up the teen account settings?,manage_account_teen_settings
Can you help me report my fake texts?,payment_issues_fraud_scams
Unsubscribe from deals email newsletters,other_query
I need assistance to change my delivery speed,modify_order
I want to resolve my checkout retry,payment_issues_declines_retries
I need assistance to check my details regarding refund tracking status,refund_tracking_status
Please show me how to check opened items,refund_returns_eligibility
Can I investigate prime subscription charge on Amazon?,payment_issues_unknown_charges
How do I review the chat translation?,customer_feedback
Can I identify gift card scam on Amazon?,payment_issues_fraud_scams
Can you help me identify my suspicious activity?,payment_issues_fraud_scams
I want to submit my chat translation,customer_feedback
Is it possible to unsubscribe this language preference?,manage_account_general_settings
Please show me how to check details regarding customer support legal,customer_support_legal
I need to save business receipt,billing
Is it possible to update this details regarding manage account closure?,manage_account_closure
How do I reset the two-step verification?,manage_account_login_security
Is it possible to request this tax invoice?,billing
Is it possible to manage this delivery status alerts query?,delivery_status_alerts
Can I identify prime subscription charge on Amazon?,payment_issues_unknown_charges
Can you help me troubleshoot my declined payment?,payment_issues_declines_retries
What is the way to troubleshoot the failed transaction?,payment_issues_declines_retries
Is it possible to submit this translation tools?,customer_feedback
Can I update payment method on order on Amazon?,modify_order
Can I manage customer support legal query on Amazon?,customer_support_legal
I'm trying to troubleshoot my declined card,payment_issues_declines_retries
Can I resolve payment retry on Amazon?,payment_issues_declines_retries
I'm trying to recognize my payment scam,payment_issues_fraud_scams
I'm trying to update my data access apps,manage_account_general_settings
What is the way to save the invoice pdf?,billing
Please show me how to update vat rates,other_query
What is the way to resolve the failed transaction?,payment_issues_declines_retries
Please show me how to update details regarding delivery status undeliverable,delivery_status_undeliverable
Common trends in Amazon buyer fraud.,payment_issues_fraud_scams
What is the way to evaluate the translation feedback?,customer_feedback
Is it possible to check this map tracking?,delivery_status_tracking_details
I'm trying to manage my customer support legal query,customer_support_legal
Please show me how to update customer support contact query,customer_support_contact
Is it possible to view this business receipt?,billing
Can I change login fail on Amazon?,manage_account_login_security
Please show me how to check details regarding delivery status alerts,delivery_status_alerts
Is it possible to return this customs returns?,refund_international_returns
Can you help me submit my translation tools?,customer_feedback
Can I use benefit balance on Amazon?,refund_credits_balances
Is it possible to troubleshoot this declined card?,payment_issues_declines_retries
Is it possible to approve this teen account settings?,manage_account_teen_settings
Can you help me view my package location?,delivery_status_tracking_details
Can you help me reduce my partial refund fee?,refund_restocking_fees
Can you help me apply my promotional credit?,refund_credits_balances
I need to modify household teen,manage_account_teen_settings
How do I remove the teen account settings?,manage_account_teen_settings
I need assistance to report my suspicious activity,payment_issues_fraud_scams
Is it possible to deduct this partial refund fee?,refund_restocking_fees
I want to find my parcel tracking info,delivery_status_tracking_details
Can you help me change my gate access code?,modify_address
I need to switch shopping profile,manage_account_profiles_devices
I need assistance to change my delivery status alerts query,delivery_status_alerts
I'm trying to sign out my switch account,manage_account_profiles_devices
How do I review the translation feedback?,customer_feedback
Can I identify unrecognized transaction on Amazon?,payment_issues_unknown_charges
Please show me how to return customs returns,refund_international_returns
I need to manage details regarding delivery status alerts,delivery_status_alerts
Can you help me use my rewards points?,refund_credits_balances
I need assistance to change my details regarding manage account closure,manage_account_closure
I want to check my details regarding delivery status undeliverable,delivery_status_undeliverable
Can you help me recognize my security trends?,payment_issues_fraud_scams
What is the way to check the package location?,delivery_status_tracking_details
Report a suspicious email or text pretending to be Amazon.,payment_issues_fraud_scams
I'm trying to update my secondary address,modify_address
I want to charge my damage fee,refund_restocking_fees
I want to locate my map tracking,delivery_status_tracking_details
I want to manage my details regarding delivery status alerts,delivery_status_alerts
I want to evaluate my chat translation,customer_feedback
How do I calculate the return deduction?,refund_restocking_fees
I'm trying to convert my international shopping,payment_issues_currency_converter
I need assistance to troubleshoot my checkout retry,payment_issues_declines_retries
How do I delete the secondary address?,modify_address
How do I sign out the login with Amazon?,manage_account_profiles_devices
I need to change payment method on order,modify_order
Can I manage details regarding delivery status alerts on Amazon?,delivery_status_alerts
Take customer satisfaction survey about experience,customer_feedback
Please show me how to cancel opt out marketing,other_query
Can you help me approve my teen approval?,manage_account_teen_settings
How do I view the subscribe and save alerts?,other_query
I'm trying to report my security trends,payment_issues_fraud_scams
Please show me how to report security trends,payment_issues_fraud_scams
Is it possible to reset this MFA?,manage_account_login_security
What is the way to return the return shipping cost?,refund_international_returns
Is it possible to recover this password?,manage_account_login_security
I need assistance to update my 2SV,manage_account_login_security
I need assistance to view my parcel tracking info,delivery_status_tracking_details
I need to recognize phishing email,payment_issues_fraud_scams
Is it possible to charge this return deduction?,refund_restocking_fees
How do I change the payment method on order?,modify_order
I'm trying to identify my fake texts,payment_issues_fraud_scams
I need assistance to track my map tracking,delivery_status_tracking_details
I need assistance to stop my archived orders list,modify_order
I want to change my gate access code,modify_address
I'm trying to cancel my payment method on order,modify_order
I see duplicate charges on my bank card.,payment_issues_unknown_charges
I'm trying to switch my shopping profile,manage_account_profiles_devices
Please show me how to change details regarding delivery status alerts,delivery_status_alerts
How do I fix the failed transaction?,payment_issues_declines_retries
Can I use credit balance on Amazon?,refund_credits_balances
Please show me how to obtain business receipt,billing
I need to update default payment,payment_issues_cards_wallet
Can I get order invoice copy on Amazon?,billing
I'm trying to hide my archived orders list,modify_order
I need to pay return shipping cost,refund_international_returns
I need to get tax invoice,billing
I want to view my proof of purchase,billing
Is it possible to use this promotional credit?,refund_credits_balances
I'm trying to charge my partial refund fee,refund_restocking_fees
I want to modify my household teen,manage_account_teen_settings
Please show me how to manage details regarding customer support legal,customer_support_legal
I'm trying to save my shipping address,modify_address
How to cancel my order before shipping?,modify_order
Can you help me recover my login fail?,manage_account_login_security
I'm trying to update my account settings,manage_account_general_settings
I need to update shipping address,modify_address
I need assistance to deduct my restocking fee,refund_restocking_fees
Is it possible to update this customer support legal query?,customer_support_legal
Can I set up household teen on Amazon?,manage_account_teen_settings
Please show me how to change subscribe and save alerts,other_query
Is it possible to report this security trends?,payment_issues_fraud_scams
What is the way to locate the map tracking?,delivery_status_tracking_details
What is the way to use the promotional credit?,refund_credits_balances
I'm trying to view my map tracking,delivery_status_tracking_details
Can I clear return shipping cost on Amazon?,refund_international_returns
I need to unsubscribe language preference,manage_account_general_settings
Can you help me use my account switcher?,manage_account_profiles_devices
I need to charge damage fee,refund_restocking_fees
I need to update login fail,manage_account_login_security
I need assistance to check my return eligibility,refund_returns_eligibility
How do I update the payment option?,payment_issues_cards_wallet
I'm trying to save my delivery instructions,modify_address
What is the way to change the deals mailing list?,other_query
How do I change the details regarding delivery status alerts?,delivery_status_alerts
I need to return international return,refund_international_returns
How do I change the shipping address?,modify_address
I need to find map tracking,delivery_status_tracking_details
What is the way to verify the 2SV?,manage_account_login_security
I want to logout my device sign-out,manage_account_profiles_devices
I need to hide delivery speed,modify_order
Can I view credit balance on Amazon?,refund_credits_balances
Please show me how to check photo delivery,delivery_status_tracking_details
I'm trying to switch my mobile login,manage_account_profiles_devices
How do I archive the Spanish language?,manage_account_general_settings
Update my profile language and settings.,manage_account_general_settings
What is the way to set the currency converter?,payment_issues_currency_converter
Please show me how to avoid payment scam,payment_issues_fraud_scams
How do I find the billing receipt?,billing
I need to update details regarding delivery status rules policies,delivery_status_rules_policies
I'm trying to give my customer surveys,customer_feedback
I need to report security trends,payment_issues_fraud_scams
Can you help me archive my gift card balance?,manage_account_general_settings
Is it possible to check this credit balance?,refund_credits_balances
Please show me how to change customs regs,other_query
I need assistance to troubleshoot my security code,manage_account_login_security
Can I update delivery status rules policies query on Amazon?,delivery_status_rules_policies
How do I save the order invoice copy?,billing
What is the way to troubleshoot the email verification?,manage_account_login_security
I need assistance to charge my restocking fee,refund_restocking_fees
I'm trying to set default my credit card,payment_issues_cards_wallet
How do I manage the customer support contact query?,customer_support_contact
What is the way to recover the MFA?,manage_account_login_security
I'm trying to use my benefit balance,refund_credits_balances
I want to identify my duplicate charge,payment_issues_unknown_charges
Can I update backup payment method on Amazon?,payment_issues_cards_wallet
I'm trying to change my delivery status delays query,delivery_status_delays
Can you help me manage my account settings?,manage_account_general_settings
Is it possible to track this photo delivery?,delivery_status_tracking_details
Please show me how to bypass security code,manage_account_login_security
I need assistance to change my account settings,manage_account_general_settings
Please show me how to update opt out marketing,other_query
I need to initiate opened items,refund_returns_eligibility
Is it possible to view this rewards points?,refund_credits_balances
How do I check the duplicate charge?,payment_issues_unknown_charges
I want to avoid my phishing email,payment_issues_fraud_scams
I want to take my satisfaction survey,customer_feedback
Can you help me update my address book?,modify_address
I'm trying to update my customer support legal query,customer_support_legal
Can you help me manage my delivery status rules policies query?,delivery_status_rules_policies
I need assistance to retry my checkout retry,payment_issues_declines_retries
Can I retry declined payment on Amazon?,payment_issues_declines_retries
Can you help me switch my account switcher?,manage_account_profiles_devices
Can you help me manage my details regarding customer support legal?,customer_support_legal
Can you help me edit my deals mailing list?,other_query
I want to check my credit balance,refund_credits_balances
I need assistance to apply my credit balance,refund_credits_balances
How do I view the invoice pdf?,billing
Can I check details regarding customer support contact on Amazon?,customer_support_contact
Can you help me resolve my declined payment?,payment_issues_declines_retries
I need to view business receipt,billing
I need to update Spanish language,manage_account_general_settings
Can you help me report my gift card scam?,payment_issues_fraud_scams
How do I add the address book?,modify_address
How do I answer the satisfaction survey?,customer_feedback
Is it possible to approve this household teen?,manage_account_teen_settings
How do I change the details regarding refund tracking status?,refund_tracking_status
Is it possible to check this return eligibility?,refund_returns_eligibility
I want to update my details regarding manage account closure,manage_account_closure
How do I apply the promotional credit?,refund_credits_balances
Can you help me check my parcel tracking info?,delivery_status_tracking_details
Is it possible to change this exchange rates?,payment_issues_currency_converter
Can you help me delete my household teen?,manage_account_teen_settings
